accounting_conserved,arrival_scale,cache_capacity_entries,capacity_binding,cell_id,hit_ceiling,jain,minimum_tier,per_tier,queue_p95_normalized_work,regime,strategy,strict_output_goodput
True,0.8,183166,False,COMPUTE_BOUND-0.8x-BASELINE,1.0,0.9998506570877715,0.9016736401673641,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.9016736401673641}",7555.20000000164,COMPUTE_BOUND,BASELINE,0.13894336666666668
True,0.8,183166,False,COMPUTE_BOUND-0.8x-PRICED_SPILL,1.0,0.9998613311994204,0.9006276150627615,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.9006276150627615}",7545.360000000149,COMPUTE_BOUND,PRICED_SPILL,0.13897736666666666
True,0.8,183166,False,COMPUTE_BOUND-0.8x-DECODE_CAUSAL,1.0,0.9998613311994204,0.9006276150627615,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.9006276150627615}",7545.360000000149,COMPUTE_BOUND,DECODE_CAUSAL,0.13897736666666666
True,1.0,183166,False,COMPUTE_BOUND-1.0x-BASELINE,1.0,0.9998469865546875,0.901255230125523,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.901255230125523}",7555.199999999777,COMPUTE_BOUND,BASELINE,0.1389392
True,1.0,183166,False,COMPUTE_BOUND-1.0x-PRICED_SPILL,1.0,0.9998588632392406,0.9,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.9}",7545.360000000149,COMPUTE_BOUND,PRICED_SPILL,0.1389731
True,1.0,183166,False,COMPUTE_BOUND-1.0x-DECODE_CAUSAL,1.0,0.9998588632392406,0.9,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.9}",7545.360000000149,COMPUTE_BOUND,DECODE_CAUSAL,0.1389731
True,1.2,183166,False,COMPUTE_BOUND-1.2x-BASELINE,1.0,0.9998476022504869,0.9006276150627615,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.9006276150627615}",7564.799999999478,COMPUTE_BOUND,BASELINE,0.13892613333333334
True,1.2,183166,False,COMPUTE_BOUND-1.2x-PRICED_SPILL,1.0,0.9998594718652514,0.8993723849372385,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.8993723849372385}",7557.679999999853,COMPUTE_BOUND,PRICED_SPILL,0.13896003333333334
True,1.2,183166,False,COMPUTE_BOUND-1.2x-DECODE_CAUSAL,1.0,0.9998594718652514,0.8993723849372385,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.8993723849372385}",7557.679999999853,COMPUTE_BOUND,DECODE_CAUSAL,0.13896003333333334
True,1.5,183166,False,COMPUTE_BOUND-1.5x-BASELINE,1.0,0.999846846642276,0.8985355648535565,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.8985355648535565}",7628.453333334587,COMPUTE_BOUND,BASELINE,0.1388127
True,1.5,183166,False,COMPUTE_BOUND-1.5x-PRICED_SPILL,1.0,0.9998583912762242,0.8972803347280335,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.8972803347280335}",7620.800665600226,COMPUTE_BOUND,PRICED_SPILL,0.13885113333333332
True,1.5,183166,False,COMPUTE_BOUND-1.5x-DECODE_CAUSAL,1.0,0.9998583912762242,0.8972803347280335,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.8972803347280335}",7620.800665600226,COMPUTE_BOUND,DECODE_CAUSAL,0.13885113333333332
True,2.0,183166,False,COMPUTE_BOUND-2.0x-BASELINE,1.0,0.9998617025990929,0.894142259414226,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.894142259414226}",7846.64,COMPUTE_BOUND,BASELINE,0.13864113333333333
True,2.0,183166,False,COMPUTE_BOUND-2.0x-PRICED_SPILL,1.0,0.9998642800391409,0.8922594142259415,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.8922594142259415}",7846.64,COMPUTE_BOUND,PRICED_SPILL,0.13863313333333332
True,2.0,183166,False,COMPUTE_BOUND-2.0x-DECODE_CAUSAL,1.0,0.9998642800391409,0.8922594142259415,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.8922594142259415}",7846.64,COMPUTE_BOUND,DECODE_CAUSAL,0.13863313333333332
True,0.8,183166,False,MEMORY_BOUND-0.8x-BASELINE,1.0,0.9998078771135096,0.8412133891213389,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.8412133891213389}",3777.599999998957,MEMORY_BOUND,BASELINE,0.1365997
