arrival_scale,attempt_count,cache_capacity_entries,capacity_binding,cell_id,congestion_action,gated_retry_count,hit_ceiling,offered_requests,offered_tokens,regime,request_goodput,retry_count,strategy,strict_goodput,strict_output_goodput
0.8,23608,183166,False,COMPUTE_BOUND-0.8x-BASELINE,,0,1.0,23608,207091518,COMPUTE_BOUND,0.0007712666666666667,0,BASELINE,6.638239166666667,0.13894336666666668
0.8,23608,183166,False,COMPUTE_BOUND-0.8x-PRICED_SPILL,,0,1.0,23608,207091518,COMPUTE_BOUND,0.0007711,0,PRICED_SPILL,6.6365124,0.13897736666666666
0.8,23608,183166,False,COMPUTE_BOUND-0.8x-DECODE_CAUSAL,DEFER,0,1.0,23608,207091518,COMPUTE_BOUND,0.0007711,0,DECODE_CAUSAL,6.6365124,0.13897736666666666
1.0,23608,183166,False,COMPUTE_BOUND-1.0x-BASELINE,,0,1.0,23608,207091518,COMPUTE_BOUND,0.0007712,0,BASELINE,6.637671566666667,0.1389392
1.0,23608,183166,False,COMPUTE_BOUND-1.0x-PRICED_SPILL,,0,1.0,23608,207091518,COMPUTE_BOUND,0.000771,0,PRICED_SPILL,6.6357388,0.1389731
1.0,23608,183166,False,COMPUTE_BOUND-1.0x-DECODE_CAUSAL,DEFER,0,1.0,23608,207091518,COMPUTE_BOUND,0.000771,0,DECODE_CAUSAL,6.6357388,0.1389731
1.2,23608,183166,False,COMPUTE_BOUND-1.2x-BASELINE,,0,1.0,23608,207091518,COMPUTE_BOUND,0.0007711,0,BASELINE,6.637199566666666,0.13892613333333334
1.2,23608,183166,False,COMPUTE_BOUND-1.2x-PRICED_SPILL,,0,1.0,23608,207091518,COMPUTE_BOUND,0.0007709,0,PRICED_SPILL,6.6352668,0.13896003333333334
1.2,23608,183166,False,COMPUTE_BOUND-1.2x-DECODE_CAUSAL,DEFER,0,1.0,23608,207091518,COMPUTE_BOUND,0.0007709,0,DECODE_CAUSAL,6.6352668,0.13896003333333334
1.5,23608,183166,False,COMPUTE_BOUND-1.5x-BASELINE,,0,1.0,23608,207091518,COMPUTE_BOUND,0.0007707666666666666,0,BASELINE,6.634725966666666,0.1388127
1.5,23608,183166,False,COMPUTE_BOUND-1.5x-PRICED_SPILL,,0,1.0,23608,207091518,COMPUTE_BOUND,0.0007705666666666666,0,PRICED_SPILL,6.6328044,0.13885113333333332
1.5,23608,183166,False,COMPUTE_BOUND-1.5x-DECODE_CAUSAL,DEFER,0,1.0,23608,207091518,COMPUTE_BOUND,0.0007705666666666666,0,DECODE_CAUSAL,6.6328044,0.13885113333333332
2.0,23608,183166,False,COMPUTE_BOUND-2.0x-BASELINE,,0,1.0,23608,207091518,COMPUTE_BOUND,0.0007700666666666667,0,BASELINE,6.628899933333333,0.13864113333333333
2.0,23608,183166,False,COMPUTE_BOUND-2.0x-PRICED_SPILL,,0,1.0,23608,207091518,COMPUTE_BOUND,0.0007697666666666667,0,PRICED_SPILL,6.625558633333333,0.13863313333333332
2.0,23608,183166,False,COMPUTE_BOUND-2.0x-DECODE_CAUSAL,DEFER,0,1.0,23608,207091518,COMPUTE_BOUND,0.0007697666666666667,0,DECODE_CAUSAL,6.625558633333333,0.13863313333333332
0.8,23608,183166,False,MEMORY_BOUND-0.8x-BASELINE,,0,1.0,23608,207091518,MEMORY_BOUND,0.0007616333333333333,0,BASELINE,6.5826221333333335,0.1365997
0.8,23608,183166,False,MEMORY_BOUND-0.8x-PRICED_SPILL,,0,1.0,23608,207091518,MEMORY_BOUND,0.0007615,0,PRICED_SPILL,6.580267166666666,0.1365802
0.8,23608,183166,False,MEMORY_BOUND-0.8x-DECODE_CAUSAL,DEFER,0,1.0,23608,207091518,MEMORY_BOUND,0.0007615,0,DECODE_CAUSAL,6.580267166666666,0.1365802
1.0,23608,183166,False,MEMORY_BOUND-1.0x-BASELINE,,0,1.0,23608,207091518,MEMORY_BOUND,0.0007616333333333333,0,BASELINE,6.5826221333333335,0.1365997
1.0,23608,183166,False,MEMORY_BOUND-1.0x-PRICED_SPILL,,0,1.0,23608,207091518,MEMORY_BOUND,0.0007615,0,PRICED_SPILL,6.580267166666666,0.1365802
1.0,23608,183166,False,MEMORY_BOUND-1.0x-DECODE_CAUSAL,DEFER,0,1.0,23608,207091518,MEMORY_BOUND,0.0007615,0,DECODE_CAUSAL,6.580267166666666,0.1365802
1.2,23608,183166,False,MEMORY_BOUND-1.2x-BASELINE,,0,1.0,23608,207091518,MEMORY_BOUND,0.0007616333333333333,0,BASELINE,6.5826221333333335,0.1365997
1.2,23608,183166,False,MEMORY_BOUND-1.2x-PRICED_SPILL,,0,1.0,23608,207091518,MEMORY_BOUND,0.0007615,0,PRICED_SPILL,6.580267166666666,0.1365802
1.2,23608,183166,False,MEMORY_BOUND-1.2x-DECODE_CAUSAL,DEFER,0,1.0,23608,207091518,MEMORY_BOUND,0.0007615,0,DECODE_CAUSAL,6.580267166666666,0.1365802
1.5,23608,183166,False,MEMORY_BOUND-1.5x-BASELINE,,0,1.0,23608,207091518,MEMORY_BOUND,0.0007616333333333333,0,BASELINE,6.5826221333333335,0.1365997
1.5,23608,183166,False,MEMORY_BOUND-1.5x-PRICED_SPILL,,0,1.0,23608,207091518,MEMORY_BOUND,0.0007615,0,PRICED_SPILL,6.580267166666666,0.1365802
1.5,23608,183166,False,MEMORY_BOUND-1.5x-DECODE_CAUSAL,DEFER,0,1.0,23608,207091518,MEMORY_BOUND,0.0007615,0,DECODE_CAUSAL,6.580267166666666,0.1365802
2.0,23608,183166,False,MEMORY_BOUND-2.0x-BASELINE,,0,1.0,23608,207091518,MEMORY_BOUND,0.0007616666666666667,0,BASELINE,6.582752833333333,0.13658563333333334
2.0,23608,183166,False,MEMORY_BOUND-2.0x-PRICED_SPILL,,0,1.0,23608,207091518,MEMORY_BOUND,0.0007615333333333334,0,PRICED_SPILL,6.5805227,0.1365803
2.0,23608,183166,False,MEMORY_BOUND-2.0x-DECODE_CAUSAL,DEFER,0,1.0,23608,207091518,MEMORY_BOUND,0.0007615333333333334,0,DECODE_CAUSAL,6.5805227,0.1365803
0.8,23608,183166,False,MIXED-0.8x-BASELINE,,0,1.0,23608,207091518,MIXED,0.0007768333333333334,0,BASELINE,6.7168524,0.1403464
0.8,23608,183166,False,MIXED-0.8x-PRICED_SPILL,,0,1.0,23608,207091518,MIXED,0.0007768333333333334,0,PRICED_SPILL,6.718475033333333,0.14036723333333334
0.8,23608,183166,False,MIXED-0.8x-DECODE_CAUSAL,DEFER,0,1.0,23608,207091518,MIXED,0.0007768333333333334,0,DECODE_CAUSAL,6.718475033333333,0.14036723333333334
1.0,23608,183166,False,MIXED-1.0x-BASELINE,,0,1.0,23608,207091518,MIXED,0.0007768333333333334,0,BASELINE,6.7168524,0.1403464
1.0,23608,183166,False,MIXED-1.0x-PRICED_SPILL,,0,1.0,23608,207091518,MIXED,0.0007768333333333334,0,PRICED_SPILL,6.718475033333333,0.14036723333333334
1.0,23608,183166,False,MIXED-1.0x-DECODE_CAUSAL,DEFER,0,1.0,23608,207091518,MIXED,0.0007768333333333334,0,DECODE_CAUSAL,6.718475033333333,0.14036723333333334
1.2,23608,183166,False,MIXED-1.2x-BASELINE,,0,1.0,23608,207091518,MIXED,0.0007768666666666666,0,BASELINE,6.717107933333334,0.1403465
1.2,23608,183166,False,MIXED-1.2x-PRICED_SPILL,,0,1.0,23608,207091518,MIXED,0.0007768666666666666,0,PRICED_SPILL,6.718730566666666,0.14036733333333334
1.2,23608,183166,False,MIXED-1.2x-DECODE_CAUSAL,DEFER,0,1.0,23608,207091518,MIXED,0.0007768666666666666,0,DECODE_CAUSAL,6.718730566666666,0.14036733333333334
1.5,23608,183166,False,MIXED-1.5x-BASELINE,,0,1.0,23608,207091518,MIXED,0.0007767,0,BASELINE,6.7158722,0.14034203333333334
1.5,23608,183166,False,MIXED-1.5x-PRICED_SPILL,,0,1.0,23608,207091518,MIXED,0.0007767,0,PRICED_SPILL,6.717494833333333,0.14036286666666667
1.5,41403,183166,False,MIXED-1.5x-DECODE_CAUSAL,GATED_DP,14881,1.0,23608,207091518,MIXED,0.0007438,17795,DECODE_CAUSAL,6.279780633333333,0.12695773333333332
2.0,23608,183166,False,MIXED-2.0x-BASELINE,,0,1.0,23608,207091518,MIXED,0.0007766,0,BASELINE,6.7154478,0.14031086666666667
