case_id,regime,kvs_mode,verdict,strictly_improved_axes,violated_axes
COMPUTE_BOUND-DISABLED,COMPUTE_BOUND,DISABLED,KILL_ENFORCEMENT,p_queue_p95,
COMPUTE_BOUND-NORMAL,COMPUTE_BOUND,NORMAL,KILL_ENFORCEMENT,token_hit_rate|request_load_max_mean|p_queue_p95,strict_useful_token_goodput
COMPUTE_BOUND-EXPENSIVE,COMPUTE_BOUND,EXPENSIVE,KILL_ENFORCEMENT,token_hit_rate|p_queue_p95,strict_useful_token_goodput
MEMORY_BOUND-DISABLED,MEMORY_BOUND,DISABLED,KILL_ENFORCEMENT,p_queue_p95,strict_useful_token_goodput|strict_useful_output_token_goodput
MEMORY_BOUND-NORMAL,MEMORY_BOUND,NORMAL,KILL_ENFORCEMENT,token_hit_rate|request_load_max_mean|p_queue_p95,strict_useful_token_goodput
MEMORY_BOUND-EXPENSIVE,MEMORY_BOUND,EXPENSIVE,KILL_ENFORCEMENT,token_hit_rate,strict_useful_token_goodput
MIXED-DISABLED,MIXED,DISABLED,KILL_ENFORCEMENT,p_queue_p95,strict_useful_token_goodput
MIXED-NORMAL,MIXED,NORMAL,PASS_PROVISIONAL,token_hit_rate|request_load_max_mean|p_queue_p95,
MIXED-EXPENSIVE,MIXED,EXPENSIVE,KILL_ENFORCEMENT,token_hit_rate,strict_useful_token_goodput
COMPUTE_BOUND-DECODE_BINDING,COMPUTE_BOUND,NORMAL,KILL_ENFORCEMENT,token_hit_rate|request_load_max_mean|p_queue_p95,strict_useful_token_goodput|strict_useful_output_token_goodput|minimum_tier_slo_attainment
MEMORY_BOUND-DECODE_BINDING,MEMORY_BOUND,NORMAL,KILL_ENFORCEMENT,token_hit_rate|p_queue_p95,minimum_tier_slo_attainment|jain_fairness
MIXED-DECODE_BINDING,MIXED,NORMAL,KILL_ENFORCEMENT,token_hit_rate|request_load_max_mean|p_queue_p95,strict_useful_token_goodput|strict_useful_output_token_goodput|minimum_tier_slo_attainment
COMPUTE_BOUND-KVS_CONTENDED,COMPUTE_BOUND,NORMAL,KILL_ENFORCEMENT,token_hit_rate|request_load_max_mean|p_queue_p95,strict_useful_token_goodput
MEMORY_BOUND-KVS_CONTENDED,MEMORY_BOUND,NORMAL,KILL_ENFORCEMENT,token_hit_rate|request_load_max_mean|p_queue_p95,strict_useful_token_goodput
MIXED-KVS_CONTENDED,MIXED,NORMAL,PASS_PROVISIONAL,token_hit_rate|request_load_max_mean|p_queue_p95,
