case_id,regime,kvs_mode,kvs_contention_multiplier,decode_binding_requested,strategy_id,offered_requests,attempt_count,strict_useful_token_goodput,strict_useful_output_token_goodput,request_goodput,minimum_tier_slo_attainment,jain_fairness,fairness_floor_pass,local_hit_tokens,remote_hit_tokens,uncached_tokens,token_hit_rate,request_load_max_mean,p_queue_p95,kvs_normalized_work,spill_count,decode_normalized_utilization,decode_queue_p95,completion_max_work
COMPUTE_BOUND-DISABLED,COMPUTE_BOUND,DISABLED,1,False,HYBRID,23608,23608,6.62378336667,0.138688366667,0.00077,0.893723849372,0.99985321554,True,111821942,0,90969759,0.551412811513,1.00304981362,7536.96,0,12038,0.0716636166667,0,18003030.64
COMPUTE_BOUND-DISABLED,COMPUTE_BOUND,DISABLED,1,False,PRICED_SPILL,23608,23608,6.62466386667,0.138709433333,0.000770033333333,0.893933054393,0.999825928529,True,111799871,0,90991830,0.551303975699,1.02126397831,7519.28,0,11441,0.0716636166667,0,18003030.64
COMPUTE_BOUND-DISABLED,COMPUTE_BOUND,DISABLED,1,False,S3_GB_PREFIX_BUCKET,23608,23608,6.60153926667,0.1372099,0.000768966666667,0.887447698745,0.999839015966,True,106049332,0,96742369,0.522947100286,1.12919349373,7889.04,0,0,0.0716636166667,0,18003850.4
COMPUTE_BOUND-DISABLED,COMPUTE_BOUND,DISABLED,1,False,S4_SESSION_AFFINITY,23608,23608,6.59743263333,0.1377318,0.000765166666667,0.864016736402,0.999797963391,True,115161831,0,87629870,0.567882366153,1.01270755676,9430.96,0,0,0.0716636166667,0,18003690.56
COMPUTE_BOUND-DISABLED,COMPUTE_BOUND,DISABLED,1,False,S5_CENTRALIZED_MASTER_TTFT,23608,23608,6.63396613333,0.139013733333,0.0007716,0.903765690377,0.999837134303,True,115173917,0,87617784,0.567941964252,1.0016943409,7515.36,0,11914,0.0716636166667,0,18003448.4
COMPUTE_BOUND-DISABLED,COMPUTE_BOUND,DISABLED,1,False,S6_CALIBRATED_TTFT,23608,23608,6.6254002,0.138687933333,0.000769533333333,0.890794979079,0.999842512324,True,110918412,0,91873289,0.546957353053,1.00194849204,7537.44,0,11809,0.0716636166667,0,18003324.08
COMPUTE_BOUND-NORMAL,COMPUTE_BOUND,NORMAL,1,False,HYBRID,23608,23608,6.63767156667,0.1389392,0.0007712,0.901255230126,0.999846986555,True,103473960,11707470,87610271,0.567979012119,1.01084378177,7555.2,1.170747,11900,0.0716636166667,0,18003030.64
COMPUTE_BOUND-NORMAL,COMPUTE_BOUND,NORMAL,1,False,PRICED_SPILL,23608,23608,6.6357388,0.1389731,0.000771,0.9,0.999858863239,True,102773660,12948088,87069953,0.570643411093,1.0060149102,7545.36,1.2948088,11345,0.0716636166667,0,18003030.6401
COMPUTE_BOUND-NORMAL,COMPUTE_BOUND,NORMAL,1,False,S3_GB_PREFIX_BUCKET,23608,23608,6.60153926667,0.1372099,0.000768966666667,0.887447698745,0.999839015966,True,106049332,0,96742369,0.522947100286,1.12919349373,7889.04,0,0,0.0716636166667,0,18003850.4
COMPUTE_BOUND-NORMAL,COMPUTE_BOUND,NORMAL,1,False,S4_SESSION_AFFINITY,23608,23608,6.59743263333,0.1377318,0.000765166666667,0.864016736402,0.999797963391,True,115161831,0,87629870,0.567882366153,1.01270755676,9430.96,0,0,0.0716636166667,0,18003690.56
