deadline_multiplier,strict_deadline_work,standard_deadline_work,relaxed_deadline_work,topology,minimum_feasible_p
0.5,2500.0,10000.0,50000.0,LOCAL_ONLY,GRID_EXHAUSTED
0.5,2500.0,10000.0,50000.0,SHARED_KVS,GRID_EXHAUSTED
0.5,2500.0,10000.0,50000.0,ZERO_TRANSFER_PRICE_CONTROL,GRID_EXHAUSTED
0.75,3750.0,15000.0,75000.0,LOCAL_ONLY,3
0.75,3750.0,15000.0,75000.0,SHARED_KVS,3
0.75,3750.0,15000.0,75000.0,ZERO_TRANSFER_PRICE_CONTROL,3
1.0,5000.0,20000.0,100000.0,LOCAL_ONLY,3
1.0,5000.0,20000.0,100000.0,SHARED_KVS,2
1.0,5000.0,20000.0,100000.0,ZERO_TRANSFER_PRICE_CONTROL,2
1.25,6250.0,25000.0,125000.0,LOCAL_ONLY,2
1.25,6250.0,25000.0,125000.0,SHARED_KVS,2
1.25,6250.0,25000.0,125000.0,ZERO_TRANSFER_PRICE_CONTROL,2
1.5,7500.0,30000.0,150000.0,LOCAL_ONLY,2
1.5,7500.0,30000.0,150000.0,SHARED_KVS,2
1.5,7500.0,30000.0,150000.0,ZERO_TRANSFER_PRICE_CONTROL,2
2.0,10000.0,40000.0,200000.0,LOCAL_ONLY,2
2.0,10000.0,40000.0,200000.0,SHARED_KVS,2
2.0,10000.0,40000.0,200000.0,ZERO_TRANSFER_PRICE_CONTROL,2
