tier_slo_floor,topology,minimum_feasible_p
0.7,LOCAL_ONLY,2
0.7,SHARED_KVS,2
0.7,ZERO_TRANSFER_PRICE_CONTROL,2
0.71,LOCAL_ONLY,2
0.71,SHARED_KVS,2
0.71,ZERO_TRANSFER_PRICE_CONTROL,2
0.72,LOCAL_ONLY,2
0.72,SHARED_KVS,2
0.72,ZERO_TRANSFER_PRICE_CONTROL,2
0.73,LOCAL_ONLY,2
0.73,SHARED_KVS,2
0.73,ZERO_TRANSFER_PRICE_CONTROL,2
0.74,LOCAL_ONLY,2
0.74,SHARED_KVS,2
0.74,ZERO_TRANSFER_PRICE_CONTROL,2
0.75,LOCAL_ONLY,2
0.75,SHARED_KVS,2
0.75,ZERO_TRANSFER_PRICE_CONTROL,2
0.76,LOCAL_ONLY,2
0.76,SHARED_KVS,2
0.76,ZERO_TRANSFER_PRICE_CONTROL,2
0.77,LOCAL_ONLY,2
0.77,SHARED_KVS,2
0.77,ZERO_TRANSFER_PRICE_CONTROL,2
0.78,LOCAL_ONLY,2
0.78,SHARED_KVS,2
0.78,ZERO_TRANSFER_PRICE_CONTROL,2
0.79,LOCAL_ONLY,2
0.79,SHARED_KVS,2
0.79,ZERO_TRANSFER_PRICE_CONTROL,2
0.8,LOCAL_ONLY,2
0.8,SHARED_KVS,2
0.8,ZERO_TRANSFER_PRICE_CONTROL,2
0.81,LOCAL_ONLY,2
0.81,SHARED_KVS,2
0.81,ZERO_TRANSFER_PRICE_CONTROL,2
0.82,LOCAL_ONLY,3
0.82,SHARED_KVS,2
0.82,ZERO_TRANSFER_PRICE_CONTROL,2
0.83,LOCAL_ONLY,3
0.83,SHARED_KVS,2
0.83,ZERO_TRANSFER_PRICE_CONTROL,2
0.84,LOCAL_ONLY,3
0.84,SHARED_KVS,2
0.84,ZERO_TRANSFER_PRICE_CONTROL,2
0.85,LOCAL_ONLY,3
0.85,SHARED_KVS,2
0.85,ZERO_TRANSFER_PRICE_CONTROL,2
0.86,LOCAL_ONLY,3
0.86,SHARED_KVS,3
0.86,ZERO_TRANSFER_PRICE_CONTROL,3
0.87,LOCAL_ONLY,3
0.87,SHARED_KVS,3
0.87,ZERO_TRANSFER_PRICE_CONTROL,3
0.88,LOCAL_ONLY,3
0.88,SHARED_KVS,3
0.88,ZERO_TRANSFER_PRICE_CONTROL,3
0.89,LOCAL_ONLY,3
0.89,SHARED_KVS,3
0.89,ZERO_TRANSFER_PRICE_CONTROL,3
0.9,LOCAL_ONLY,3
0.9,SHARED_KVS,3
0.9,ZERO_TRANSFER_PRICE_CONTROL,3
0.91,LOCAL_ONLY,3
0.91,SHARED_KVS,3
0.91,ZERO_TRANSFER_PRICE_CONTROL,3
0.92,LOCAL_ONLY,3
0.92,SHARED_KVS,3
0.92,ZERO_TRANSFER_PRICE_CONTROL,3
0.93,LOCAL_ONLY,3
0.93,SHARED_KVS,3
0.93,ZERO_TRANSFER_PRICE_CONTROL,3
0.94,LOCAL_ONLY,3
0.94,SHARED_KVS,3
0.94,ZERO_TRANSFER_PRICE_CONTROL,3
0.95,LOCAL_ONLY,4
0.95,SHARED_KVS,4
0.95,ZERO_TRANSFER_PRICE_CONTROL,4
0.96,LOCAL_ONLY,5
0.96,SHARED_KVS,4
0.96,ZERO_TRANSFER_PRICE_CONTROL,5
0.97,LOCAL_ONLY,GRID_EXHAUSTED
0.97,SHARED_KVS,GRID_EXHAUSTED
0.97,ZERO_TRANSFER_PRICE_CONTROL,GRID_EXHAUSTED
0.98,LOCAL_ONLY,GRID_EXHAUSTED
0.98,SHARED_KVS,GRID_EXHAUSTED
0.98,ZERO_TRANSFER_PRICE_CONTROL,GRID_EXHAUSTED
