result_schema_version,case_id,selector_id,eviction_id,node_count,capacity_mode,capacity_blocks,replay_mode,visibility,view_mode,view_delay_ms,view_loss_probability,replay_speed,seed,prefill_uncached_token_ms,prefill_concurrency_per_node,prefix_anchor_k,soft_alpha,minimum_shared_blocks,family_size_cap,hot_block_percentile,cache_discount,similar_band_ratio,completed_requests,block_ref_hit_rate,token_weighted_hit_rate,logical_block_ref_hit_rate,logical_token_weighted_hit_rate,request_load_max_mean,input_token_load_max_mean,uncached_token_load_max_mean,request_load_cv,request_load_gini,queue_wait_normalized_ms_p50,queue_wait_normalized_ms_p95,queue_wait_normalized_ms_p99,queue_wait_normalized_ms_max,offered_load_ratio,eviction_count,rejected_placements,unique_resident_blocks,replica_factor,fallback_count,no_stat_fallback_count,inflight_wait_tokens,inflight_wait_ms,stranded_block_references,eviction_regret,one_hit_pollution,affinity_kept,affinity_broken,trace_sha256,config_sha256,git_sha,git_dirty
phase-a-result-v3,A1-S0_RANDOM,S0_RANDOM,E1_LRU,4,FIXED_TOTAL,50000,QUEUED,INSERT_AT_COMPLETION,DELAYED,100,0,1,713,0.06,1,2,1.25,2,128,99,0.7,0.1,23608,0.428714859437751,0.4429690443791879,0.428714859437751,0.4429690443791879,1.013046424940698,1.017324155686233,1.0210677634557088,0.01238260683876209,0.006735005083022605,408.47999999974854,4549.224999999895,7806.089999999826,19997.77999999997,0.4706718958333333,183859,0,40751,1.2269637554906627,0,0,0,0.0,37,216,178919,0,0,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,b974ef7a515833b7a59926aab5172fe91bddbc5e73bae01d461f86e7a9ea5885,66c65bf376cf6d15690472605a86dfd67ce83efe,False
phase-a-result-v3,A1-S1_ROUND_ROBIN,S1_ROUND_ROBIN,E1_LRU,4,FIXED_TOTAL,50000,QUEUED,INSERT_AT_COMPLETION,DELAYED,100,0,1,713,0.06,1,2,1.25,2,128,99,0.7,0.1,23608,0.4282238442822384,0.4424636292192253,0.4282238442822384,0.4424636292192253,1.0,1.0371228554367715,1.0431425549138655,0.0,0.0,311.16000000004715,4338.098999999789,7784.8058000005,14979.739999999932,0.47109895416666664,184060,0,40662,1.229649304018494,0,0,0,0.0,40,212,179401,0,0,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,00dd5db9cfc1d84d264dde87009425d059e59de7417e23019f77477863e8bcdf,66c65bf376cf6d15690472605a86dfd67ce83efe,False
phase-a-result-v3,A1-S2_LEAST_WORK,S2_LEAST_WORK,E1_LRU,4,FIXED_TOTAL,50000,QUEUED,INSERT_AT_COMPLETION,DELAYED,100,0,1,713,0.06,1,2,1.25,2,128,99,0.7,0.1,23608,0.4264503268548647,0.4406356500752464,0.4264503268548647,0.4406356500752464,1.0179600135547273,1.0227013579811137,1.0179602584216745,0.01330408300716004,0.007052694002033233,2102.8800000005867,8466.401999999423,12513.707400000128,22972.98000000004,0.4726435333333333,184786,0,40678,1.2291656423619648,0,0,0,0.0,149,207,180400,0,0,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,d24332a52b80aa8852805e11685853cd8a1ceb0f3caadb450e1575de1d0b4cca,66c65bf376cf6d15690472605a86dfd67ce83efe,False
phase-a-result-v3,A1-S3_GB_PREFIX_BUCKET,S3_GB_PREFIX_BUCKET,E1_LRU,4,FIXED_TOTAL,50000,QUEUED,INSERT_AT_COMPLETION,DELAYED,100,0,1,713,0.06,1,2,1.25,2,128,99,0.7,0.1,23608,0.5195917489910982,0.5367136251793657,0.5195917489910982,0.5367136251793657,1.7992206031853608,1.6627314349515714,1.1087258678579193,0.49111348586388404,0.2577727888851238,275.7600000000093,3324.7440000000447,6788.655000000137,19172.21999999974,0.3914609666666667,146658,0,47689,1.0484598125353854,2771,0,0,0.0,0,61,137558,20837,2771,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,bd983887a9b3c7db8856b213b911041eb492425dfad846b6ab56020beb0236c7,66c65bf376cf6d15690472605a86dfd67ce83efe,False
phase-a-result-v3,A1-S4_SESSION_AFFINITY,S4_SESSION_AFFINITY,E1_LRU,4,FIXED_TOTAL,50000,QUEUED,INSERT_AT_COMPLETION,DELAYED,100,0,1,713,0.06,1,2,1.25,2,128,99,0.7,0.1,23608,0.5117428350873079,0.5286069226274699,0.5117428350873079,0.5286069226274699,1.039647577092511,1.0197867022181544,1.023743348526241,0.032701876749452616,0.018129447644866126,232.9199999999255,3336.62099999991,6670.2558000000245,17473.440000000002,0.39831085,149871,0,46475,1.0758472296933836,2777,0,0,0.0,0,67,139392,20831,2777,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,e3414c6d26d74c4c002d6d6667e24abdafefa1a730cc8fabd3f4bb53c9381d2a,66c65bf376cf6d15690472605a86dfd67ce83efe,False
phase-a-result-v3,A1-S5_CENTRALIZED_MASTER_TTFT,S5_CENTRALIZED_MASTER_TTFT,E1_LRU,4,FIXED_TOTAL,50000,QUEUED,INSERT_AT_COMPLETION,DELAYED,100,0,1,713,0.06,1,2,1.25,2,128,99,0.7,0.1,23608,0.5013680024233186,0.5179272055122216,0.5013680024233186,0.5179272055122216,1.4940698068451372,1.4782395261825827,1.523431060944721,0.42864552787822563,0.23663588614029152,1386.3299999997253,6982.823999999715,10801.504799999973,22972.98000000004,0.40733484166666667,154118,0,47005,1.0637166258908626,0,0,0,0.0,0,121,145774,0,0,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,06aac15fd4aba3e11a098159fe54d474cc1d36cd67f901dbae7ceb49180d66ea,66c65bf376cf6d15690472605a86dfd67ce83efe,False
phase-a-result-v3,A1-S6_CALIBRATED_TTFT,S6_CALIBRATED_TTFT,E1_LRU,4,FIXED_TOTAL,50000,QUEUED,INSERT_AT_COMPLETION,DELAYED,100,0,1,713,0.06,1,2,1.25,2,128,99,0.7,0.1,23608,0.516821544083878,0.533853177749123,0.516821544083878,0.533853177749123,1.2492375465943748,1.2281702001207633,1.209841496266393,0.16776186834094028,0.09170620128769902,1291.9799999999814,6747.43800000024,10791.648600000122,22972.98000000004,0.39387794583333335,147792,0,47276,1.0576190879092986,0,0,0,0.0,0,30,138201,0,0,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,21ef4447c745b863b15dfdd46a511cc9ecbb409fbab32d7ff9627f124122ba60,66c65bf376cf6d15690472605a86dfd67ce83efe,False
phase-a-result-v3,K-S3-k1,S3_GB_PREFIX_BUCKET,E1_LRU,4,FIXED_TOTAL,50000,QUEUED,INSERT_AT_COMPLETION,DELAYED,100,0,1,713,0.06,1,1,1.25,2,128,99,0.7,0.1,23608,0.4408192380226502,0.4554268174909189,0.4408192380226502,0.4554268174909189,1.6038630972551677,1.8062939370482425,1.8440889920672014,0.541296548060084,0.27914266350389694,1819.5,8173.988999999836,11975.36100000007,22972.98000000004,0.4601455083333333,189843,0,34110,1.1451480504250953,11463,0,0,0.0,1,419,183504,12145,11463,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,83200b352504e89002d48ea54d537a65160d4c07b3d86f8424e5306a1767b5b0,66c65bf376cf6d15690472605a86dfd67ce83efe,False
phase-a-result-v3,K-S3-k2,S3_GB_PREFIX_BUCKET,E1_LRU,4,FIXED_TOTAL,50000,QUEUED,INSERT_AT_COMPLETION,DELAYED,100,0,1,713,0.06,1,2,1.25,2,128,99,0.7,0.1,23608,0.5195917489910982,0.5367136251793657,0.5195917489910982,0.5367136251793657,1.7992206031853608,1.6627314349515714,1.1087258678579193,0.49111348586388404,0.2577727888851238,275.7600000000093,3324.7440000000447,6788.655000000137,19172.21999999974,0.3914609666666667,146658,0,47689,1.0484598125353854,2771,0,0,0.0,0,61,137558,20837,2771,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,9a1e2437f9d3b6825826981ea007355913ff6b591ebd93373f721bf93baed011,66c65bf376cf6d15690472605a86dfd67ce83efe,False
phase-a-result-v3,K-S3-k4,S3_GB_PREFIX_BUCKET,E1_LRU,4,FIXED_TOTAL,50000,QUEUED,INSERT_AT_COMPLETION,DELAYED,100,0,1,713,0.06,1,4,1.25,2,128,99,0.7,0.1,23608,0.5156538563011169,0.5326624041681075,0.5156538563011169,0.5326624041681075,1.8029481531684175,1.7497885675311733,1.1829680915031335,0.5335889078502545,0.28852507624534063,297.4800000002142,3503.7300000002124,6795.55319999938,13448.159999999989,0.3948841083333333,148270,0,47260,1.0579771476936097,3042,0,0,0.0,0,71,139770,20566,3042,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,133302a396df18cdccbb996c0ada2987f8f1376fb8b888ba285169c477004cc4,66c65bf376cf6d15690472605a86dfd67ce83efe,False
