case_id,input_tokens,local_hit_tokens,local_dram_hit_tokens,remote_hit_tokens,recompute_tokens,local_hit_rate,remote_hit_rate,effective_prefix_rate,kvt_normalized_ms,recompute_normalized_ms,effective_plan_normalized_ms,lookup_unknown_count,remote_evictions,remote_replica_factor,hotspot_max_mean,remote_bound_request_count,kvt_fixed_normalized_ms,kvt_wire_normalized_ms,hotspot_migrations,bandwidth_gbps,fixed_latency_ms,bytes_per_token,remote_capacity_blocks,kvcache_balancing_threshold,topology_mode,trace_sha256,config_sha256,git_sha,git_dirty,metric_unit,replay_mode
M5-BASE,202791701,98613472,16896,16470465,87690868,0.48627962344474834,0.08121863428720882,0.5675815747509313,43391.035769600065,4980841.302399999,4990667.16841728,0,166646,1.1510658870113726,1145.4707990240927,320,214.6999999999921,43176.33576959974,2147,100,0.2,65536,50000,2.0,SHARED_KVS,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,8515ef7aff1c625ee607bba451b4101f056018f6a14715dd55eb6e32b78cc7c5,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
M5-BW-25,202791701,103843653,7729,11240615,87699704,0.5120705260024423,0.05542936394621001,0.5675380029481581,118035.0911424005,4981343.1871999875,5041290.246821106,0,156446,1.1026574043444701,1000.291440056751,609,168.6999999999947,117866.3911423995,1687,25,0.2,65536,50000,2.0,SHARED_KVS,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,ab6df48858c47bda29d4c559a6a85e53493cd30da71508021a0e58f1d2312fc6,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
M5-BW-50,202791701,101011701,112128,13952727,87715145,0.4981056941772977,0.0688032445666995,0.567461860779007,73345.9733337601,4982220.235999987,5011659.95639934,0,161858,1.124075447944066,1058.7407229378966,492,193.4999999999933,73152.47333375966,1935,50,0.2,65536,50000,2.0,SHARED_KVS,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,1fe4ca0a99ba01b3318eb01508be3bc3e23a6a78a0bd21e4f90ea204910b1869,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
M5-BW-100,202791701,98613472,16896,16470465,87690868,0.48627962344474834,0.08121863428720882,0.5675815747509313,43391.035769600065,4980841.302399999,4990667.16841728,0,166646,1.1510658870113726,1145.4707990240927,320,214.6999999999921,43176.33576959974,2147,100,0.2,65536,50000,2.0,SHARED_KVS,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,a2c0798b13ed3602353032826f1e33308c6b54e1a275576e3f1eb4d96deda7df,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
M5-BW-200,202791701,96013923,40960,18985951,87750867,0.47346080991746303,0.09362291901678955,0.567285709586311,25114.265694719918,4984249.245599996,4987762.463189755,0,171744,1.1757513050839485,1215.3047968473977,188,228.99999999999127,24885.265694719834,2290,200,0.2,65536,50000,2.0,SHARED_KVS,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,49c36a7df715f82a1d4ddad77ef4d8d167cee0f70a74f3ee679ac34615d78a40,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
M5-CAP-10000,202791701,103357470,0,9855949,89578282,0.5096730758227626,0.04860134291195674,0.5582744187347193,25964.378946560162,5088046.417599989,5094753.619903984,0,236435,1.0608953957139826,451.73951828724347,211,127.59999999999702,25836.77894655986,1276,100,0.2,65536,10000,2.0,SHARED_KVS,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,6bcf23f0b7267f405ed394a878ae832465e93d18f04fb19cff24e24d171e9422,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
M5-CAP-50000,202791701,98613472,16896,16470465,87690868,0.48627962344474834,0.08121863428720882,0.5675815747509313,43391.035769600065,4980841.302399999,4990667.16841728,0,166646,1.1510658870113726,1145.4707990240927,320,214.6999999999921,43176.33576959974,2147,100,0.2,65536,50000,2.0,SHARED_KVS,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,a8334d9df692c9d03a7acdc2fa14fbe0c576d7c568592963857013ee79751da7,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
M5-CAP-200000,202791701,98413160,1231597,15733862,87413082,0.48529185126762164,0.07758632095107285,0.5689513842580767,41452.77520128012,4965063.0575999925,4974852.159403518,0,14655,1.172346686362091,1515.4926892344417,312,207.3999999999925,41245.37520127975,2074,100,0.2,65536,200000,2.0,SHARED_KVS,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,e17f02cc4357342f740bb6328270011fa8501340746e458eb7dde3ac216fc9ec,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
M5-THRESHOLD-1.0,202791701,98752683,127488,16502879,87408651,0.4869660963098288,0.08137847317529034,0.5689732342646507,43532.60712575998,4964811.376799983,4975765.795992307,0,166190,1.153322722764284,1293.1970462495142,417,271.2999999999932,43261.30712575942,2713,100,0.2,65536,50000,1.0,SHARED_KVS,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,87f0060ce74046c90b8e308019301d007e6158d811cc29cac852e2920d14e9b2,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
M5-THRESHOLD-1.5,202791701,98425877,27136,16696485,87642203,0.48535456093442403,0.08233317693804443,0.5678215500544571,43989.133638400024,4978077.130399996,4988528.691368957,0,167009,1.1514635101213642,1148.9433649646032,343,220.29999999999177,43768.83363839973,2203,100,0.2,65536,50000,1.5,SHARED_KVS,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,5b62db2141d074caefda49e0d11e47057f27329bb3a5cecc67b1a89d2b3c6311,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
M5-THRESHOLD-2.0,202791701,98613472,16896,16470465,87690868,0.48627962344474834,0.08121863428720882,0.5675815747509313,43391.035769600065,4980841.302399999,4990667.16841728,0,166646,1.1510658870113726,1145.4707990240927,320,214.6999999999921,43176.33576959974,2147,100,0.2,65536,50000,2.0,SHARED_KVS,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,097ff8d082c4ecc7761eedb7bdb65e0e065dd3d918fec3f559813abba389acaf,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
M5-THRESHOLD-4.0,202791701,98643933,1536,16109934,88036298,0.48642983176121196,0.07944079526212959,0.5658782012977938,42392.32538496007,5000461.726399982,5010795.503320303,0,166642,1.1480001836800293,894.348653185197,320,161.09999999999513,42231.225384960075,1611,100,0.2,65536,50000,4.0,SHARED_KVS,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,bbecc9469f4e9926222d8cb776c8b315e45f6b1412c50ad6843bf9c0f69631a3,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
M5-OVERLAP-0,202791701,101251107,112640,13708503,87719451,0.49928624544650374,0.06759893492880165,0.5674406271684659,72256.83620864042,4982464.816799988,5010930.540266224,0,161398,1.124176540683949,1057.8169781931463,487,384.7999999999867,71872.03620863962,1924,100,0.2,65536,50000,2.0,SHARED_KVS,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,d6e0699e18512f54253f89e81bf35b66e4599581235dd5becf70b54213683244,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
M5-OVERLAP-0.5,202791701,98613472,16896,16470465,87690868,0.48627962344474834,0.08121863428720882,0.5675815747509313,43391.035769600065,4980841.302399999,4990667.16841728,0,166646,1.1510658870113726,1145.4707990240927,320,214.6999999999921,43176.33576959974,2147,100,0.2,65536,50000,2.0,SHARED_KVS,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,72bb8e4acdbc045e0179db8405723eaecf2599709cc275aeb92884939e925ee4,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
M5-OVERLAP-0.9,202791701,93014906,46592,21961877,87768326,0.4586721524664365,0.10829771086145187,0.5671996163196047,11563.00856857592,4985240.916799993,4985792.003905273,0,177579,1.1978056201039695,1197.2014418247354,96,48.66000000000201,11514.348568575962,2433,100,0.2,65536,50000,2.0,SHARED_KVS,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,ce65dc422901aa8ee4158e3ff99d5a2b2c7841db7ee8bcca637f302ee2b6e6b2,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
