case_id,protocol,overlay,seed,trace_sha256,git_sha,git_dirty,prefill_nodes,decode_nodes,completed_requests,rejected_requests,strict_completed_goodput,lenient_completed_goodput,partial_output_tokens,prefill_waste_work,slo_missed_prefill_work,decode_hold_work,store_occupancy_work,hold_count,reserve_count,commit_count,rollback_count,reject_count,jain_fairness,strict_weight,standard_weight,relaxed_weight,lambda_gpu,lambda_stall,lambda_risk,prefill_token_cost,decode_token_cost,max_post_prefill_wait,probe_cost,probe_staleness_work,store_put_work,store_pull_work,metric_unit
M6-REL-P0_PD,P0_PD,RELATIVE,,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,1f32526ab69e2415a063f27e7a813cc55a5fb495,False,4,4,9291,14317,0.48825083333333336,0.6872,192813,4528702.8512,752999.304,391429.80959996325,0,2997,0,23608,0,0,,2.0,1.0,0.5,1.0,1.0,1.0,0.0568,1.0,64.0,2.0,32.0,4.0,8.0,NORMALIZED_WORK
M6-REL-P1_DP,P1_DP,RELATIVE,,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,1f32526ab69e2415a063f27e7a813cc55a5fb495,False,4,4,5489,18119,0.2938997222222222,0.47745611111111114,209865,6450950.887200001,759696.2512,11518568.6168,0,23608,23608,23608,0,0,,2.0,1.0,0.5,1.0,1.0,1.0,0.0568,1.0,64.0,2.0,32.0,4.0,8.0,NORMALIZED_WORK
M6-REL-P2_GATED_PD,P2_GATED_PD,RELATIVE,,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,1f32526ab69e2415a063f27e7a813cc55a5fb495,False,4,4,9660,13948,0.6869972222222223,0.8072825,0,67962.3928,160321.80560000002,66346.69200000295,0,634,10023,10023,0,13585,,2.0,1.0,0.5,1.0,1.0,1.0,0.0568,1.0,64.0,2.0,32.0,4.0,8.0,NORMALIZED_WORK
M6-REL-P3_GATED_DP,P3_GATED_DP,RELATIVE,,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,1f32526ab69e2415a063f27e7a813cc55a5fb495,False,4,4,9396,14212,0.5787280555555555,0.8149155555555555,0,4811.3576,498797.152,6908331.751200001,0,9412,9412,9412,16,14212,,2.0,1.0,0.5,1.0,1.0,1.0,0.0568,1.0,64.0,2.0,32.0,4.0,8.0,NORMALIZED_WORK
M6-REL-P4_KVS_DECOUPLED,P4_KVS_DECOUPLED,RELATIVE,,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,1f32526ab69e2415a063f27e7a813cc55a5fb495,False,4,4,9070,14538,0.4781977777777778,0.6771488888888889,194663,4626232.3136,746603.1696,389365.3511999859,94432.0,2946,0,23608,0,0,,2.0,1.0,0.5,1.0,1.0,1.0,0.0568,1.0,64.0,2.0,32.0,4.0,8.0,NORMALIZED_WORK
M6-TIER-713-P0_PD,P0_PD,TIERED,713,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,1f32526ab69e2415a063f27e7a813cc55a5fb495,False,4,4,9317,14291,0.48358305555555553,0.6705844444444444,203148,4751659.777600001,661825.648,381867.34519993205,0,2952,0,23608,0,0,0.997727948723129,2.0,1.0,0.5,1.0,1.0,1.0,0.0568,1.0,64.0,2.0,32.0,4.0,8.0,NORMALIZED_WORK
M6-TIER-713-P1_DP,P1_DP,TIERED,713,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,1f32526ab69e2415a063f27e7a813cc55a5fb495,False,4,4,5695,17913,0.2985291666666667,0.4795613888888889,210425,6588233.6472000005,704073.1472,11518568.6168,0,23608,23608,23608,0,0,0.9954811336553266,2.0,1.0,0.5,1.0,1.0,1.0,0.0568,1.0,64.0,2.0,32.0,4.0,8.0,NORMALIZED_WORK
M6-TIER-713-P2_GATED_PD,P2_GATED_PD,TIERED,713,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,1f32526ab69e2415a063f27e7a813cc55a5fb495,False,4,4,8841,14767,0.6054911111111111,0.7313777777777778,85583,472298.532,305220.9344,73917.28559999468,0,696,10161,10161,0,13447,0.9989467648871444,2.0,1.0,0.5,1.0,1.0,1.0,0.0568,1.0,64.0,2.0,32.0,4.0,8.0,NORMALIZED_WORK
M6-TIER-713-P3_GATED_DP,P3_GATED_DP,TIERED,713,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,1f32526ab69e2415a063f27e7a813cc55a5fb495,False,4,4,8352,15256,0.5224725,0.7120488888888888,0,669235.8896,436658.3496,6675617.5504,0,9701,9701,9701,1349,15256,0.9987306124368553,2.0,1.0,0.5,1.0,1.0,1.0,0.0568,1.0,64.0,2.0,32.0,4.0,8.0,NORMALIZED_WORK
M6-TIER-714-P0_PD,P0_PD,TIERED,714,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,1f32526ab69e2415a063f27e7a813cc55a5fb495,False,4,4,9309,14299,0.4828327777777778,0.6678908333333333,196379,4733131.9016,677476.888,376445.18479997833,0,2927,0,23608,0,0,0.998982944685818,2.0,1.0,0.5,1.0,1.0,1.0,0.0568,1.0,64.0,2.0,32.0,4.0,8.0,NORMALIZED_WORK
M6-TIER-714-P1_DP,P1_DP,TIERED,714,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,1f32526ab69e2415a063f27e7a813cc55a5fb495,False,4,4,5597,18011,0.2943138888888889,0.47480916666666667,204775,6640597.453600001,693297.6760000001,11518568.6168,0,23608,23608,23608,0,0,0.9978800438439219,2.0,1.0,0.5,1.0,1.0,1.0,0.0568,1.0,64.0,2.0,32.0,4.0,8.0,NORMALIZED_WORK
M6-TIER-714-P2_GATED_PD,P2_GATED_PD,TIERED,714,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,1f32526ab69e2415a063f27e7a813cc55a5fb495,False,4,4,8854,14754,0.6132597222222222,0.7309225,95600,494012.77440000005,264613.0808,69481.73400000951,0,651,10179,10179,0,13429,0.9994065832842801,2.0,1.0,0.5,1.0,1.0,1.0,0.0568,1.0,64.0,2.0,32.0,4.0,8.0,NORMALIZED_WORK
M6-TIER-714-P3_GATED_DP,P3_GATED_DP,TIERED,714,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,1f32526ab69e2415a063f27e7a813cc55a5fb495,False,4,4,8378,15230,0.5300375,0.7122805555555556,0,660075.5264000001,422277.04400000005,6601535.298400001,0,9737,9737,9737,1359,15230,0.9989205211142316,2.0,1.0,0.5,1.0,1.0,1.0,0.0568,1.0,64.0,2.0,32.0,4.0,8.0,NORMALIZED_WORK
M6-TIER-715-P0_PD,P0_PD,TIERED,715,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,1f32526ab69e2415a063f27e7a813cc55a5fb495,False,4,4,9323,14285,0.4817975,0.6689672222222223,194773,4735245.7136,687995.6232,370788.10679996177,0,2880,0,23608,0,0,0.9986778640037771,2.0,1.0,0.5,1.0,1.0,1.0,0.0568,1.0,64.0,2.0,32.0,4.0,8.0,NORMALIZED_WORK
M6-TIER-715-P1_DP,P1_DP,TIERED,715,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,1f32526ab69e2415a063f27e7a813cc55a5fb495,False,4,4,5568,18040,0.2977591666666667,0.47945027777777777,200334,6615727.9144,711994.816,11518568.6168,0,23608,23608,23608,0,0,0.9976059330624827,2.0,1.0,0.5,1.0,1.0,1.0,0.0568,1.0,64.0,2.0,32.0,4.0,8.0,NORMALIZED_WORK
