case_id,policy,recovery,local_capacity_blocks,migrate_on_boundary,prefill_nodes,decode_nodes,lease_schedule,max_rounds,strict_completed_goodput,completed_goodput,completed_requests,completed_tokens,partial_tokens,ttft_p95,short_ttft_p95,recovery_stall_work,recovery_p95,decode_waste_work,jain_fairness,boundaries_per_completed_request,trace_sha256,git_sha,git_dirty,metric_unit
M7-D0_NO_LEASE-R0_RECOMPUTE-D4-M0,D0_NO_LEASE,R0_RECOMPUTE,256,False,4,4,8/8/14,64,0.7418280555555555,1.194393611111111,23608,4299817,0,4326.420000000013,3938.4552000002004,0,0,0,1.0,0.0,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,ac55183888b677fd80310f3fd3e3ad72b10f1bb7,False,NORMALIZED_WORK
M7-D1_FIXED_LEASE-R0_RECOMPUTE-D4-M0,D1_FIXED_LEASE,R0_RECOMPUTE,256,False,4,4,8/8/14,64,0.7393866666666666,1.194393611111111,23608,4299817,0,4323.615999999922,3933.023200000025,0,0,0,1.0,12.91553710606574,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,ac55183888b677fd80310f3fd3e3ad72b10f1bb7,False,NORMALIZED_WORK
M7-D1_5_ADAPTIVE_LEASE-R0_RECOMPUTE-D4-M0,D1_5_ADAPTIVE_LEASE,R0_RECOMPUTE,256,False,4,4,8/8/14,64,0.7379061111111112,1.194393611111111,23608,4299817,0,4323.615999999922,3933.5367999998853,0,0,0,1.0,4.949678075228736,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,ac55183888b677fd80310f3fd3e3ad72b10f1bb7,False,NORMALIZED_WORK
M7-D0_NO_LEASE-R0_RECOMPUTE-D1-M0,D0_NO_LEASE,R0_RECOMPUTE,256,False,4,1,8/8/14,64,0.007183888888888889,1.194393611111111,23608,4299817,0,657973.1912000002,657104.1912000002,0,0,0,1.0,0.0,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,ac55183888b677fd80310f3fd3e3ad72b10f1bb7,False,NORMALIZED_WORK
M7-D1_FIXED_LEASE-R0_RECOMPUTE-D1-M0,D1_FIXED_LEASE,R0_RECOMPUTE,256,False,4,1,8/8/14,64,0.14180694444444444,1.194393611111111,23608,4299817,0,4387.070400000084,4002.8775999997742,39571413397.363976,12479366.898399973,0,1.0,12.91553710606574,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,ac55183888b677fd80310f3fd3e3ad72b10f1bb7,False,NORMALIZED_WORK
M7-D0_NO_LEASE-R0_RECOMPUTE-D2-M0,D0_NO_LEASE,R0_RECOMPUTE,256,False,4,2,8/8/14,64,0.6846163888888889,1.194393611111111,23608,4299817,0,4552.754400000442,4162.749600001145,0,0,0,1.0,0.0,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,ac55183888b677fd80310f3fd3e3ad72b10f1bb7,False,NORMALIZED_WORK
M7-D1_FIXED_LEASE-R0_RECOMPUTE-D2-M0,D1_FIXED_LEASE,R0_RECOMPUTE,256,False,4,2,8/8/14,64,0.6235127777777778,1.194393611111111,23608,4299817,0,4331.375199999893,3941.819200000027,130732407.8024,0,0,1.0,12.91553710606574,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,ac55183888b677fd80310f3fd3e3ad72b10f1bb7,False,NORMALIZED_WORK
M7-D0_NO_LEASE-R0_RECOMPUTE-D8-M0,D0_NO_LEASE,R0_RECOMPUTE,256,False,4,8,8/8/14,64,0.7427455555555555,1.194393611111111,23608,4299817,0,4323.615999999922,3933.023200000025,0,0,0,1.0,0.0,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,ac55183888b677fd80310f3fd3e3ad72b10f1bb7,False,NORMALIZED_WORK
M7-D1_FIXED_LEASE-R0_RECOMPUTE-D8-M0,D1_FIXED_LEASE,R0_RECOMPUTE,256,False,4,8,8/8/14,64,0.7427455555555555,1.194393611111111,23608,4299817,0,4323.615999999922,3933.023200000025,0,0,0,1.0,12.91553710606574,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,ac55183888b677fd80310f3fd3e3ad72b10f1bb7,False,NORMALIZED_WORK
M7-D1_FIXED_LEASE-R0_RECOMPUTE-D4-M1,D1_FIXED_LEASE,R0_RECOMPUTE,256,True,4,4,8/8/14,64,0.0015322222222222221,1.194393611111111,23608,4299817,0,4323.615999999922,3933.023200000025,445778110524.0832,52374395.27760035,0,1.0,12.91553710606574,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,ac55183888b677fd80310f3fd3e3ad72b10f1bb7,False,NORMALIZED_WORK
M7-D1_FIXED_LEASE-R1_PREFIX_KVS-D4-M1,D1_FIXED_LEASE,R1_PREFIX_KVS,256,True,4,4,8/8/14,64,0.0015322222222222221,1.194393611111111,23608,4299817,0,4323.615999999922,3933.023200000025,402000632892.0095,49217149.60543392,0,1.0,12.91553710606574,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,ac55183888b677fd80310f3fd3e3ad72b10f1bb7,False,NORMALIZED_WORK
