case_id,recovery_mode,safety_margin,assumed_completed_requests,preemptions,preemptions_per_completed_request,preempted_twice_ratio,move_delta_mean,scored_decisions,hard_gate_pass_upper_bound,min_quantum,max_preemptions,hard_gate_limit,completion_model,r1_recovery_per_input_token,r2_recovery_per_input_token,calibration_status,trace_sha256,git_sha,git_dirty,metric_unit
M8-R1_PREFIX_KVS-M0.1,R1_PREFIX_KVS,0.1,23608,8960,0.37953236191121653,0.18675872585564215,-227.7906381782876,22144,False,14,2,0.25,ASSUME_RESUME_SUCCESS_UPPER_BOUND,0.0568,0.002,SYNTHETIC_UNCALIBRATED,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,8fa49af78b34840177b448921a5e7cc4152a4cab,False,SYNTHETIC_SCORE
M8-R1_PREFIX_KVS-M50.0,R1_PREFIX_KVS,50.0,23608,8005,0.3390799728905456,0.16659606912910876,-232.72817353827722,21697,False,14,2,0.25,ASSUME_RESUME_SUCCESS_UPPER_BOUND,0.0568,0.002,SYNTHETIC_UNCALIBRATED,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,8fa49af78b34840177b448921a5e7cc4152a4cab,False,SYNTHETIC_SCORE
M8-R1_PREFIX_KVS-M100.0,R1_PREFIX_KVS,100.0,23608,7030,0.29778041341917993,0.14630633683497118,-239.59401728456209,21201,False,14,2,0.25,ASSUME_RESUME_SUCCESS_UPPER_BOUND,0.0568,0.002,SYNTHETIC_UNCALIBRATED,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,8fa49af78b34840177b448921a5e7cc4152a4cab,False,SYNTHETIC_SCORE
M8-R1_PREFIX_KVS-M200.0,R1_PREFIX_KVS,200.0,23608,5268,0.22314469671297865,0.10898847848187056,-255.84497167125988,20320,True,14,2,0.25,ASSUME_RESUME_SUCCESS_UPPER_BOUND,0.0568,0.002,SYNTHETIC_UNCALIBRATED,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,8fa49af78b34840177b448921a5e7cc4152a4cab,False,SYNTHETIC_SCORE
M8-R1_PREFIX_KVS-M500.0,R1_PREFIX_KVS,500.0,23608,1225,0.05188919010504914,0.02465266011521518,-321.00862347930814,18268,True,14,2,0.25,ASSUME_RESUME_SUCCESS_UPPER_BOUND,0.0568,0.002,SYNTHETIC_UNCALIBRATED,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,8fa49af78b34840177b448921a5e7cc4152a4cab,False,SYNTHETIC_SCORE
M8-R1_PREFIX_KVS-M1000.0,R1_PREFIX_KVS,1000.0,23608,83,0.003515757370382921,0.0017366994239240935,-352.7902772564669,17667,True,14,2,0.25,ASSUME_RESUME_SUCCESS_UPPER_BOUND,0.0568,0.002,SYNTHETIC_UNCALIBRATED,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,8fa49af78b34840177b448921a5e7cc4152a4cab,False,SYNTHETIC_SCORE
M8-R2_CHECKPOINT-M0.1,R2_CHECKPOINT,0.1,23608,29106,1.2328871568959674,0.5031345306675703,301.8596341261352,29730,False,14,2,0.25,ASSUME_RESUME_SUCCESS_UPPER_BOUND,0.0568,0.002,SYNTHETIC_UNCALIBRATED,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,8fa49af78b34840177b448921a5e7cc4152a4cab,False,SYNTHETIC_SCORE
M8-R2_CHECKPOINT-M50.0,R2_CHECKPOINT,50.0,23608,24413,1.0340986106404608,0.45518468315825145,311.7685590325611,28746,False,14,2,0.25,ASSUME_RESUME_SUCCESS_UPPER_BOUND,0.0568,0.002,SYNTHETIC_UNCALIBRATED,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,8fa49af78b34840177b448921a5e7cc4152a4cab,False,SYNTHETIC_SCORE
M8-R2_CHECKPOINT-M100.0,R2_CHECKPOINT,100.0,23608,19760,0.8370044052863436,0.4095221958658082,322.1289756686583,27615,False,14,2,0.25,ASSUME_RESUME_SUCCESS_UPPER_BOUND,0.0568,0.002,SYNTHETIC_UNCALIBRATED,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,8fa49af78b34840177b448921a5e7cc4152a4cab,False,SYNTHETIC_SCORE
M8-R2_CHECKPOINT-M200.0,R2_CHECKPOINT,200.0,23608,17383,0.7363181972212809,0.3647492375465944,331.0714498980945,26397,False,14,2,0.25,ASSUME_RESUME_SUCCESS_UPPER_BOUND,0.0568,0.002,SYNTHETIC_UNCALIBRATED,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,8fa49af78b34840177b448921a5e7cc4152a4cab,False,SYNTHETIC_SCORE
M8-R2_CHECKPOINT-M500.0,R2_CHECKPOINT,500.0,23608,5990,0.2537275499830566,0.12034056252117926,325.3060186526427,20774,False,14,2,0.25,ASSUME_RESUME_SUCCESS_UPPER_BOUND,0.0568,0.002,SYNTHETIC_UNCALIBRATED,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,8fa49af78b34840177b448921a5e7cc4152a4cab,False,SYNTHETIC_SCORE
M8-R2_CHECKPOINT-M1000.0,R2_CHECKPOINT,1000.0,23608,349,0.014783124364622162,0.007200948830904778,278.50665833632894,17804,True,14,2,0.25,ASSUME_RESUME_SUCCESS_UPPER_BOUND,0.0568,0.002,SYNTHETIC_UNCALIBRATED,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,8fa49af78b34840177b448921a5e7cc4152a4cab,False,SYNTHETIC_SCORE
